問題,正解,"	不正解"
千<style=1C-1>ち</style>葉<style=1C-1>ば</style>市<style=1C-1>し</style>にある旧<style=C1-2.5>きゅう</style>神<style=C1-2>かみ</style>谷<style=C1-1>や</style>伝<style=C1-2>でん</style>兵<style=C1-1>べ</style>衛<style=C1-1>え</style>稲<style=C1-2>いな</style>毛<style=C1-1>げ</style>別<style=C1-1.5>べっ</style>荘<style=C1-2>そう</style>を建<style=C1-1>た</style>てた神<style=C1-2>かみ</style>谷<style=C1-1>や</style>傳<style=C1-2>でん</style>兵<style=C1-1>べ</style>衛<style=C1-1>え</style>は何<style=C1-2>なん</style>と呼<style=C1-1>よ</style>ばれていたでしょう？,日<style=C1-1>に</style>本<style=C1-1>ほん</style>のバナナ王<style=C1-2>おう</style>,日<style=C1-1>に</style>本<style=C1-2>ほん</style>のワイン王<style=C1-2>おう</style>
千<style=1C-1>ち</style>葉<style=1C-1>ば</style>公<style=C1-2>こう</style>園<style=C1-2>えん</style>周<style=C1-2.5>しゅう</style>辺<style=C1-2>へん</style>で毎<style=C1-2>まい</style>年<style=C1-2>とし</style>行<style=C1-3>おこな</style>われるお祭<style=C1-2>まつ</style>りはどっちでしょうか？,大<style=C1-2>おお</style>賀<style=C1-1>が</style>ハスまつり,キッズフェスタ
千<style=1C-1>ち</style>葉<style=1C-1>県<style=C1-2>けん</style>で唯<style=C1-2>ゆい</style>一<style=C1-2>いつ</style>、チーターやブチハイエナに会<style=C1-1>あ</style>えるのはどこでしょうか？,千<style=C1-1>ち</style>葉<style=C1-1>ば</style>市<style=C1-1>し</style>動<style=C1-2>どう</style>物<style=C1-2>ぶつ</style>園<style=C1-2>えん</style>,千<style=C1-1>ち</style>葉<style=C1-1>ば</style>公<style=C1-2>こう</style>園<style=C1-2>えん</style>
千<style=1C-1>ち</style>葉<style=1C-1>ば</style>市<style=1C-1>し</style>動<style=C1-2>どう</style>物<style=C1-2>ぶつ</style>園<style=C1-2>えん</style>で会<style=C1-1>あ</style>えるレッサーパンダの名<style=C1-1>な</style>前<style=C1-2>まえ</style>は何<style=C1-2>なん</style>でしょう？,風<style=C1-2>ふう</style>太<style=C1-1>た</style>くん,風<style=C1-2>ふう</style>神<style=C1-2>じん</style>くん
日<style=C1-1>に</style>本<style=C1-2>ほん</style>で第<style=C1-2>だい</style>2位<style=C1-1>い</style>となる幕<style=C1-2>まく</style>張<style=C1-2>はり</style>メッセの総<style=C1-2>そう</style>展<style=C1-2>てん</style>示<style=C1-1>じ</style>面<style=C1-2>めん</style>積<style=C1-2>せき</style>は何<style=C1-2>なん</style>平<style=C1-2>へい</style>方<style=C1-2>ほう</style>メートルでしょうか？,7万<style=C1-2>まん</style>2000平<style=C1-2>へい</style>方<style=C1-2>ほう</style>メートル,11万<style=C1-2>まん</style>5420平<style=C1-2>へい</style>方<style=C1-2>ほう</style>メートル
幕<style=C1-2>まく</style>張<style=C1-2>はり</style>メッセに面<style=C1-2>めん</style>している人<style=C1-2>じん</style>工<style=C1-2>こう</style>海<style=C1-2>かい</style>浜<style=C1-2>ひん</style>である幕<style=C1-2>まく</style>張<style=C1-2>はり</style>の浜<style=C1-2>はま</style>はいつ完<style=C1-2>かん</style>成<style=C1-2>せい</style>したでしょうか？,1979年<style=C1-2>ねん</style>,1945年<style=C1-2>ねん</style>
稲<style=1C-2>いな</style>毛<style=1C-1>げ</style>海<style=C1-2>かい</style>浜<style=C1-2>ひん</style>公<style=C1-2>こう</style>園<style=C1-2>えん</style>・いなげの浜<style=C1-2>はま</style>は波<style=C1-2>なみ</style>の影<style=C1-2>えい</style>響<style=C1-2.5>きょう</style>で砂<style=C1-2>すな</style>が浸<style=C1-2>しん</style>食<style=C1-2.5>しょく</style>されますが何<style=C1-2>なん</style>年<style=C1-2>ねん</style>おきに補<style=C1-1>ほ</style>充<style=C1-2.5>じゅう</style>するでしょうか？,10年<style=C1-2>ねん</style>,1年<style=C1-2>ねん</style>
県<style=C1-2>けん</style>立<style=C1-2>りつ</style>幕<style=C1-2>まく</style>張<style=C1-2>はり</style>海<style=C1-2>かい</style>浜<style=C1-2>ひん</style>公<style=C1-2>こう</style>園<style=C1-2>えん</style>で見<style=C1-1>み</style>ることのできる千<style=C1-1>ち</style>葉<style=C1-1>ば</style>にしかない花<style=C1-2>はな</style>は何<style=C1-2>なん</style>でしょうか？,大<style=C1-2>おお</style>賀<style=C1-1>が</style>ハス,チューリップ
民<style=C1-2>みん</style>間<style=C1-2>かん</style>航<style=C1-2>こう</style>空<style=C1-2>くう</style>発<style=C1-1.5>はっ</style>祥<style=C1-2.5>しょう</style>の地<style=C1-1>ち</style>記<style=C1-1>き</style>念<style=C1-2>ねん</style>碑<style=C1-1>ひ</style>の高<style=C1-2>たか</style>さと幅<style=C1-2>はば</style>は何<style=C1-2>なん</style>メートルでしょうか？,9m,5m
豊<style=C1-2>とり</style>砂<style=C1-2>すな</style>の浜<style=C1-2>はま</style>やいなげの浜<style=C1-2>はま</style>、検<style=C1-1>け</style>見<style=C1-1>み</style>川<style=C1-2>がわ</style>の浜<style=C1-2>はま</style>に面<style=C1-2>めん</style>している海<style=C1-2>うみ</style>の名<style=C1-1>な</style>前<style=C1-2>まえ</style>は何<style=C1-2>なん</style>でしょう？,東<style=C1-2>とう</style>京<style=C1-2.5>きょう</style>湾<style=C1-2>わん</style>,太<style=C1-2>たい</style>平<style=C1-2>へい</style>洋<style=C1-2>よう</style>
幕<style=C1-2>まく</style>張<style=C1-2>はり</style>海<style=C1-2>かい</style>浜<style=C1-2>ひん</style>緑<style=C1-2.5>りょく</style>地<style=C1-1>ち</style>のAブロックにないものは何<style=C1-2>なん</style>でしょう？,にぎわいの広<style=C1-2>ひろ</style>場<style=C1-1>ば</style>,創<style=C1-2>そう</style>作<style=C1-2>さく</style>の広<style=C1-2>ひろ</style>場<style=C1-1>ば</style>
千<style=1C-1>ち</style>葉<style=1C-1>ば</style>市<style=1C-1>し</style>の幕<style=C1-2>まく</style>張<style=C1-2>はり</style>海<style=C1-2>かい</style>浜<style=C1-2>ひん</style>公<style=C1-2>こう</style>園<style=C1-2>えん</style>にある関<style=C1-2>かん</style>東<style=C1-2>とう</style>1番<style=C1-2>ばん</style>のものなんでしょう？,花<style=C1-2>はな</style>時<style=C1-1>ど</style>計<style=C1-2>けい</style>,花<style=C1-2>はな</style>壇<style=C1-2>だん</style>
"千<style=C1-1>ち</style>葉<style=C1-1>ば</style>市<style=C1-1>し</style>にある日<style=C1-1>に</style>本<style=C1-2>ほん</style>の伝<style=C1-2>でん</style>統<style=C1-2>とう</style>文<style=C1-2>ぶん</style>化<style=C1-1>か</style>を表<style=C1-2.5>ひょう</style>現<style=C1-2>げん</style>し、接<style=C1-1.5>せっ</style>してもらうことを目<style=C1-2>もく</style>的<style=C1-2>てき</style>とした日<style=C1-1>に</style>本<style=C1-2>ほん</style>庭<style=C1-2>てい</style>園<style=C1-2>えん</style>はどこでしょう？	",美<style=C1-1>み</style>浜<style=C1-2>はま</style>園<style=C1-2>えん</style>,ゴリラ公<style=C1-2>こう</style>園<style=C1-2>えん</style>
千<style=C1-1>ち</style>葉<style=C1-1>ば</style>市<style=C1-1>し</style>にある昭<style=C1-2.5>しょう</style>和<style=C1-1>わ</style>の森<style=C1-2>もり</style>にあるローラー滑<style=C1-2>すべ</style>り台<style=C1-2>だい</style>は千<style=C1-1>ち</style>葉<style=C1-1>ば</style>県<style=C1-2>けん</style>で最<style=C1-2>さい</style>長<style=C1-2.5>ちょう</style>ですがその長<style=C1-2>なが</style>さは何<style=C1-2>なん</style>メートルでしょう？,109メートル,190メートル
大<style=C1-2>おお</style>椎<style=C1-2>じい</style>城<style=C1-2.5>じょう</style>跡<style=C1-2>あと</style>は過<style=C1-1>か</style>去<style=C1-1>こ</style>に千<style=C1-1>ち</style>葉<style=C1-1>ば</style>氏<style=C1-2>うじ</style>が本<style=C1-2>ほん</style>拠<style=C1-1.5>きょ</style>地<style=C1-1>ち</style>として使<style=C1-1>し</style>用<style=C1-2>よう</style>していたが使<style=C1-1>し</style>用<style=C1-2>よう</style>していたの時<style=C1-1>じ</style>代<style=C1-2>だい</style>はどちらでしょう？,平<style=C1-2>へい</style>安<style=C1-2>あん</style>時<style=C1-1>じ</style>代<style=C1-2>だい</style>,鎌<style=C1-2>かま</style>倉<style=C1-2>くら</style>時<style=C1-1>じ</style>代<style=C1-2>だい</style>
東<style=C1-2>とう</style>光<style=C1-2>こう</style>院<style=C1-2>いん</style>が建<style=C1-2>けん</style>造<style=C1-2>ぞう</style>された時<style=C1-1>じ</style>代<style=C1-2>だい</style>はいつとされているでしょうか？,平<style=C1-2>へい</style>安<style=C1-2>あん</style>時<style=C1-1>じ</style>代<style=C1-2>だい</style>,江<style=C1-1>え</style>戸<style=C1-1>ど</style>時<style=C1-1>じ</style>代<style=C1-2>だい
緑<style=C1-3>みどり</style>区<style=C1-1>く</style>おゆみ野<style=C1-1>の</style>にある有<style=C1-2>あり</style>吉<style=C1-2>よし</style>北<style=C1-2>きた</style>貝<style=C1-2>かい</style>塚<style=C1-2>づか</style>にはどちらが落<style=C1-1>お</style>ちているでしょうか？,土<style=C1-1>ど</style>器<style=C1-1>き</style>片<style=C1-2>へん</style>,鉄<style=C1-1.5>てっ</style>器<style=C1-1>き</style>片<style=C1-2>へん</style>
有<style=C1-2>あり</style>吉<style=C1-2>よし</style>南<style=C1-3>みなみ</style>貝<style=C1-2>かい</style>塚<style=C1-2>づか</style>から過<style=C1-1>か</style>去<style=C1-1>こ</style>の遺<style=C1-1>い</style>体<style=C1-2>たい</style>が発<style=C1-1.5>はっ</style>見<style=C1-2>けん</style>された。その遺<style=C1-1>い</style>体<style=C1-2>たい</style>と一<style=C1-1.5>いっ</style>緒<style=C1-1.5>しょ</style>に動<style=C1-2>どう</style>物<style=C1-2>ぶつ</style>の骨<style=C1-2>ほね</style>で作<style=C1-2>つく</style>った装<style=C1-2>そう</style>飾<style=C1-2.5>しょく</style>品<style=C1-2>ひん</style>が出<style=C1-2.5>しゅつ</style>土<style=C1-1>ど</style>された。その動<style=C1-2>どう</style>物<style=C1-2>ぶつ</style>はどちらでしょう？,イルカ,クジラ
加<style=C1-1>か</style>曽<style=C1-1>そ</style>利<style=C1-1>り</style>貝<style=C1-2>かい</style>塚<style=C1-2>づか</style>は日<style=C1-1>に</style>本<style=C1-2>ほん</style>最<style=C1-2>さい</style>大<style=C1-2>だい</style>級<style=C1-2.5>きゅう</style>の大<style=C1-2>おお</style>きさをしている。上<style=C1-2.5>じょう</style>空<style=C1-2>くう</style>から見<style=C1-1>み</style>ると次<style=C1-2>つぎ</style>のうちどちらの形<style=C1-3>かたち</style>をしているでしょう？,８の字<style=C1-1>じ</style>型<style=C1-2>がた</style>,三<style=C1-2>さん</style>角<style=C1-2>かく</style>型<style=C1-2>けい</style>
荒<style=C1-2>あら</style>屋<style=C1-1>や</style>敷<style=C1-2>しき</style>貝<style=C1-2>かい</style>塚<style=C1-2>づか</style>は少<style=C1-2>すこ</style>し高<style=C1-2>たか</style>い位<style=C1-1>い</style>置<style=C1-1>ち</style>にある貝塚<style=C2-4>かいづか</style>である。その高<style=C1-2>たか</style>さは次<style=C1-2>つぎ</style>のうちどちらでしょう？,31メートル,41メートル
"花<style=C1-2>はな</style>輪<style=C1-1>わ</style>貝<style=C1-2>かい</style>塚<style=C1-2>づか</style>は平<style=C1-2>へい</style>成<style=C1-2>せい</style>になってから、国<style=C1-2>くに</style>指<style=C1-1>し</style>定<style=C1-2>てい</style>史<style=C1-1>し</style>跡<style=C1-2>せき</style>に登<style=C1-2>とう</style>録<style=C1-2>ろく</style>された。それは次<style=C1-2>つぎ</style>のうちどちらでしょう？	平<style=C1-2>へい</style>成<style=C1-2>せい</style>１５年<style=C1-2>ねん</style>	平<style=C1-2>へい</style>成<style=C1-2>せい</style>5年<style=C1-2>ねん</style>","平<style=C1-2>へい</style>成<style=C1-2>せい</style>１５年<style=C1-2>ねん</style>	",平<style=C1-2>へい</style>成<style=C1-2>せい</style>5年<style=C1-2>ねん</style>
東<style=C1-3>ひがし</style>寺<style=C1-2>てら</style>山<style=C1-2>やま</style>貝<style=C1-2>かい</style>塚<style=C1-2>づか</style>からはとある動<style=C1-2>どう</style>物<style=C1-2>ぶつ</style>の骨<style=C1-2>ほね</style>が丸<style=C1-2>まる</style>々<style=C1-2>まる</style>１頭<style=C1-2>とう</style>分<style=C1-2>ぶん</style>出<style=C1-2.5>しゅつ</style>土<style=C1-1>ど</style>された。その動<style=C1-2>どう</style>物<style=C1-2>ぶつ</style>はどちらでしょう？,クジラ,マグロ
滑<style=C1-3>なめり</style>橋<style=C1-2>ばし</style>貝<style=C1-2>かい</style>塚<style=C1-2>づか</style>の近<style=C1-2>ちか</style>くには川<style=C1-2>かわ</style>が流<style=C1-2>なが</style>れている。その川<style=C1-2>かわ</style>はとある生<style=C1-2>せい</style>物<style=C1-2>ぶつ</style>の自<style=C1-1>じ</style>生<style=C1-2>せい</style>地<style=C1-1>ち</style>になっている。その生<style=C1-2>せい</style>物<style=C1-2>ぶつ</style>は次<style=C1-2>つぎ</style>のうちどちらでしょう？,ホタル,カゲロウ
千<style=C1-1>ち</style>葉<style=C1-1>ば</style>市<style=C1-1>し</style>動<style=C1-2>どう</style>物<style=C1-2>ぶつ</style>公<style=C1-2>こう</style>園<style=C1-2>えん</style>ではとある姿<style=C1-3>すがた</style>をすることで有<style=C1-2>ゆう</style>名<style=C1-2>めい</style>なレッサーパンダの風<style=C1-2>ふう</style>太<style=C1-1>た</style>くんに会<style=C1-1>あ</style>うことできます。風<style=C1-2>ふう</style>太<style=C1-1>た</style>くんはどんなポーズで有<style=C1-2>ゆう</style>名<style=C1-2>めい</style>になりましたか？,立<style=C1-1>た</style>つ,寝<style=C1-1>ね</style>る
高<style=C1-2>たか</style>品<style=C1-2>しな</style>城<style=C1-2.5>じょう</style>跡<style=C1-2>あと</style>は千<style=C1-1>ち</style>葉<style=C1-1>ば</style>の中<style=C1-2.5>ちゅう</style>心<style=C1-2>しん</style>部<style=C1-1>ぶ</style>から次<style=C1-2>つぎ</style>のうちどのくらいの距<style=C1-1.5>きょ</style>離<style=C1-1>り</style>でしょう？,"2キロメートル	",1キロメートル
紅<style=C1-2>べん</style>嶽<style=C1-2>たけ</style>弁<style=C1-2>べん</style>財<style=C1-2>ざい</style>天<style=C1-2>てん</style>では四<style=C1-1>し</style>月<style=C1-2>がつ</style>の巳<style=C1-1>み</style>の日<style=C1-1>ひ</style>に行<style=C1-2.5>ぎょう</style>事<style=C1-1>じ</style>がありジンメイといったものを納<style=C1-1>お</style>めていた。ジンメイは次<style=C1-2>つぎ</style>のうちなんでしょう？,お札<style=C1-2>ふだ</style>,お守<style=C1-2>まも</style>り
羽<style=C1-1>は</style>衣<style=C1-3>ごろも</style>の松<style=C1-2>まつ</style>千<style=C1-1>ち</style>葉<style=C1-1>ば</style>県<style=C1-2>けん</style>立<style=C1-2>りつ</style>美<style=C1-1>まび</style>術<style=C1-2.5>じゅつ</style>館<style=C1-2>かん</style>には「みる・○○○・つくる」といった活<style=C1-2>かつ</style>動<style=C1-2>どう</style>理<style=C1-1>り</style>念<style=C1-2>ねん</style>がある。○○○に入<style=C1-2>はい</style>る言<style=C1-2>こと</style>葉<style=C1-1>ば</style>は次<style=C1-2>つぎ</style>のうちどれでしょう？,かたる,ざかる
千<style=C1-1>ち</style>葉<style=C1-1>ば</style>市<style=C1-1>し</style>立<style=C1-2>りつ</style>郷<style=C1-2.5>きょう</style>土<style=C1-1>ど</style>博<style=C1-2>はく</style>物<style=C1-2>ぶつ</style>館<style=C1-2>かん</style>は古<style=C1-1>こ</style>代<style=C1-2>だい</style>から中<style=C1-2.5>ちゅう</style>世<style=C1-2>せい</style>にかけて活<style=C1-2>かつ</style>躍<style=C1-2>やく</style>した偉<style=C1-1>い</style>人<style=C1-2>じん</style>の居<style=C1-1.5>きょ</style>城<style=C1-2.5>じょう</style>に建<style=C1-1>た</style>てられた。その偉<style=C1-1>い</style>人<style=C1-2>じん</style>は次<style=C1-2>つぎ</style>のうちどれでしょう？,千<style=C1-1>ち</style>葉<style=C1-1>ば</style>氏<style=C1-2>うじ</style>,蘇<style=C1-1>そ</style>我<style=C1-1>が</style>氏<style=C1-1>し</style>
千<style=C1-1>ち</style>葉<style=C1-1>ば</style>ポートパークは○○○発<style=C1-1.5>はっ</style>祥<style=C1-2.5>しょう</style>の地<style=C1-1>ち</style>と言<style=C1-1>い</style>われている。○○○に入<style=C1-2>はい</style>る言<style=C1-2>こと</style>葉<style=C1-1>ば</style>は次<style=C1-2>つぎ</style>のうちどれでしょう？,千<style=C1-1>ち</style>葉<style=C1-1>ば</style>港<style=C1-2>こう</style>,千<style=C1-1>ち</style>葉<style=C1-1>ば</style>市<style=C1-1>し</style>
千<style=C1-1>ち</style>葉<style=C1-1>ば</style>公<style=C1-2>こう</style>園<style=C1-2>えん</style>では初<style=C1-1.5>しょ</style>夏<style=C1-1>か</style> になると2000 年<style=C1-2>ねん</style>以<style=C1-1>い</style>上<style=C1-2.5>じょう</style>前<style=C1-2>まえ</style>に咲<style=C1-1>さ</style>いたといわれる〇〇の花<style=C1-2>はな</style>を鑑<style=C1-2>かん</style>賞<style=C1-2.5>しょう</style>するため、多<style=C1-2>おお</style>くの人<style=C1-2>ひと</style>でにぎわいます。それはどれでしょうか？,大<style=C1-2>おお</style>賀<style=C1-1>が</style>ハス,バラ
猪<style=C1-2>いの</style>鼻<style=C1-2>はな</style>城<style=C1-2.5>じょう</style>跡<style=C1-2>あと</style>では資<style=C1-1>し</style>料<style=C1-2.5>りょう</style>館<style=C1-2>かん</style>に入<style=C1-2.5>にゅう</style>場<style=C1-2.5>じょう</style>することができます。入<style=C1-2.5>にゅう</style>場<style=C1-2.5>じょう</style>は次<style=C1-2>つぎ</style>のうちどちらでしょう？,60円<style=C1-2>えん</style>,600円<style=C1-2>えん</style>
月<style=C1-2>つき</style>ノ<style=C1-1>の</style>木<style=C1-1>き</style>貝<style=C1-2>かい</style>塚<style=C1-2>づか</style>ではハマグリ、キサゴ、アサリなどの貝<style=C1-2>かい</style>が出<style=C1-2.5>しゅつ</style>土<style=C1-1>ど</style>しています。この貝<style=C1-2>かい</style>達<style=C1-2>たち</style>の共<style=C1-2.5>きょう</style>通<style=C1-2>つう</style>点<style=C1-2>てん</style>は次<style=C1-2>つぎ</style>のうちどれでしょう？,浅<style=C1-2>あさ</style>い海<style=C1-2>うみ</style>に住<style=C1-1>す</style>む,深<style=C1-2>ふか</style>い海<style=C1-2>うみ</style>に住<style=C1-1>す</style>む
中<style=C1-2.5>ちゅう</style>央<style=C1-2>おう</style>区<style=C1-1>く</style>弁<style=C1-2>べん</style>天<style=C1-2>てん</style>の宗<style=C1-2>そう</style>胤<style=C1-2>いん</style>寺<style=C1-1>じ</style>にある伝<style=C1-2>でん</style>千<style=C1-1>ち</style>葉<style=C1-1>ば</style>宗<style=C1-2>まさ</style>胤<style=C1-2>むね</style>五<style=C1-1>ご</style>輪<style=C1-2>りん</style>塔<style=C1-2>とう</style>は、とある意<style=C1-1>い</style>味<style=C1-1>み</style>を持<style=C1-1>も</style>って建<style=C1-1>た</style>てられたといわれています。その意<style=C1-1>い</style>味<style=C1-1>み</style>はどれでしょうか？,宗<style=C1-2>まさ</style>胤<style=C1-2>むね</style>の墓<style=C1-2>はか</style>,活<style=C1-2>かつ</style>躍<style=C1-2>やく</style>を示<style=C1-1>し</style>す記<style=C1-1>き</style>念<style=C1-2>ねん</style>碑<style=C1-1>ひ</style>
